id,tc_e_a,tc_pv_a,tc_land_a,tc_pi_a,tc_p_a,tc_e_p,tc_pv_p,tc_p_p,tc_pi_p,name1,tc_e_f,tc_p_f,tc_pi_f,tc_pv_f
32,88832.45817,775.077192,340097.4129,74256.70098,75031.77817,26.11971006,0.227898585,22.06184914,21.83395056,Block Group 32,0.261197101,0.220618491,0.218339506,0.002278986
33,145725.2771,3337.13791,635240.3486,94505.59262,97842.73053,22.94017963,0.525334689,15.40247416,14.87713947,Block Group 33,0.229401796,0.154024742,0.148771395,0.005253347
34,155327.6223,2056.107551,567657.9235,71048.7426,73104.85015,27.3628916,0.362208905,12.87832815,12.51611924,Block Group 34,0.273628916,0.128783282,0.125161192,0.003622089
35,158029.6275,1517.859501,601212.3069,118403.806,119921.6655,26.28516178,0.252466472,19.94664184,19.69417537,Block Group 35,0.262851618,0.199466418,0.196941754,0.002524665
36,132118.3664,1528.624462,571253.4204,118920.5242,120449.1486,23.12780311,0.267591301,21.08506388,20.81747258,Block Group 36,0.231278031,0.210850639,0.208174726,0.002675913
37,81027.86145,764.312231,524016.7716,102643.9031,103408.2154,15.46283742,0.145856444,19.73376063,19.58790419,Block Group 37,0.154628374,0.197337606,0.195879042,0.001458564
38,24145.80752,1528.624462,330085.9991,84515.70881,86044.33327,7.315005055,0.463098849,26.06724717,25.60414832,Block Group 38,0.073150051,0.260672472,0.256041483,0.004630988
39,165392.8608,80446.55355,2579144.711,549712.7335,630159.287,6.412701858,3.119117481,24.43287824,21.31376076,Block Group 39,0.064127019,0.244328782,0.213137608,0.031191175
40,59680.94378,2626.650484,579682.3849,126154.578,128781.2284,10.29545581,0.453118907,22.21582573,21.76270683,Block Group 40,0.102954558,0.222158257,0.217627068,0.004531189
41,105130.6091,8084.485711,757304.2414,150074.3213,158158.807,13.88221581,1.06753472,20.88444754,19.81691282,Block Group 41,0.138822158,0.208844475,0.198169128,0.010675347
42,29076.15966,409.068518,211628.3683,50735.26119,51144.32971,13.73925429,0.193295692,24.16704817,23.97375248,Block Group 42,0.137392543,0.241670482,0.239737525,0.001932957
43,79348.52753,1130.320905,296337.8464,75828.38528,76958.70619,26.77637315,0.381429817,25.96992153,25.58849172,Block Group 43,0.267763732,0.259699215,0.255884917,0.003814298
44,73556.97851,1625.509111,481333.7012,115292.7323,116918.2414,15.28190906,0.337709391,24.29047481,23.95276542,Block Group 44,0.152819091,0.242904748,0.239527654,0.003377094
45,196966.4914,55665.61333,789739.0689,76162.09908,131827.7124,24.940705,7.048608271,16.69256563,9.643957362,Block Group 45,0.24940705,0.166925656,0.096439574,0.070486083
46,117144.3056,2734.300094,688914.4442,132075.3065,134809.6066,17.00418776,0.396899806,19.56841053,19.17151072,Block Group 46,0.170041878,0.195684105,0.191715107,0.003968998
47,28042.72341,850.431919,211402.3041,41186.74079,42037.17271,13.26509828,0.402281291,19.884917,19.48263571,Block Group 47,0.132650983,0.19884917,0.194826357,0.004022813
48,48054.7859,129.179532,220143.4525,43221.31842,43350.49795,21.82885086,0.058679707,19.69193154,19.63325183,Block Group 48,0.218288509,0.196919315,0.196332518,0.000586797
49,74278.2309,387.538596,415678.2041,78993.28382,79380.82241,17.86916662,0.093230435,19.09670068,19.00347024,Block Group 49,0.178691666,0.190967007,0.190034702,0.000932304
50,81738.34887,409.068518,427896.4348,72329.77296,72738.84148,19.10236736,0.095599889,16.99916979,16.9035699,Block Group 50,0.191023674,0.169991698,0.169035699,0.000955999
51,26234.20996,581.307894,364802.9984,83622.21705,84203.52494,7.191336166,0.159348442,23.0819169,22.92256846,Block Group 51,0.071913362,0.230819169,0.229225685,0.001593484
52,40347.07383,1593.214228,541757.4273,156188.8191,157782.0334,7.447442674,0.294082582,29.1241108,28.83002822,Block Group 52,0.074474427,0.291241108,0.288300282,0.002940826
53,47258.17879,21196.20821,1567787.39,494940.6119,516136.8201,3.014323185,1.351982312,32.92135294,31.56937063,Block Group 53,0.030143232,0.329213529,0.315693706,0.013519823
54,49508.05564,409.068518,581706.1976,157437.5546,157846.6231,8.510835169,0.070322187,27.13511113,27.06478894,Block Group 54,0.085108352,0.271351111,0.270647889,0.000703222
55,50283.13283,12734.94886,467242.3672,128447.5147,141182.4635,10.76168095,2.725555248,30.21610911,27.49055387,Block Group 55,0.10761681,0.302161091,0.274905539,0.027255552
56,48022.49102,818.137036,495823.3387,130880.3958,131698.5329,9.685403504,0.165005753,26.56158406,26.3965783,Block Group 56,0.096854035,0.265615841,0.263965783,0.001650058
57,164757.7281,290.653947,511120.3483,108177.0931,108467.747,32.23462511,0.056866049,21.22156698,21.16470093,Block Group 57,0.322346251,0.21221567,0.211647009,0.00056866
58,91491.40354,172.239376,317792.4137,74655.00454,74827.24391,28.78967515,0.054198706,23.54595034,23.49175163,Block Group 58,0.287896752,0.235459503,0.234917516,0.000541987
59,79671.47636,1442.504774,601029.3026,147835.2094,149277.7142,13.25583895,0.240005731,24.83701103,24.5970053,Block Group 59,0.13255839,0.24837011,0.245970053,0.002400057
60,63050.37658,64.589766,178924.4168,35147.59767,35212.18743,35.23855364,0.036098911,19.67992299,19.64382408,Block Group 60,0.352385536,0.19679923,0.196438241,0.000360989
61,64395.9967,53.824805,245624.1151,63900.8085,63954.6333,26.21729412,0.021913486,26.03760354,26.01569006,Block Group 61,0.262172941,0.260376035,0.260156901,0.000219135
62,41714.22388,0,329666.1657,84214.2899,84214.2899,12.6534744,0,25.54532393,25.54532393,Block Group 62,0.126534744,0.255453239,0.255453239,0
63,44125.57514,2798.88986,463022.5025,124421.4192,127220.3091,9.529898633,0.60448247,27.47605319,26.87157072,Block Group 63,0.095298986,0.274760532,0.268715707,0.006044825
64,65881.56132,86.119688,342885.5378,88089.67586,88175.79555,19.21386412,0.025116162,25.71581062,25.69069446,Block Group 64,0.192138641,0.257158106,0.256906945,0.000251162
65,30432.54475,1496.329579,462807.2033,130019.199,131515.5285,6.57564198,0.323315966,28.41691477,28.09359881,Block Group 65,0.06575642,0.284169148,0.280935988,0.00323316
66,483723.5225,904698.0874,3097466.818,144142.8278,1048840.915,15.61674591,29.20767648,33.86124781,4.653571329,Block Group 66,0.156167459,0.338612478,0.046535713,0.292076765
67,36299.44849,43.059844,328266.7207,89919.71923,89962.77908,11.05791303,0.013117335,27.40539122,27.39227389,Block Group 67,0.11057913,0.274053912,0.273922739,0.000131173
68,31293.74163,32.294883,265851.4769,68669.68622,68701.9811,11.77113703,0.012147716,25.84224166,25.83009394,Block Group 68,0.11771137,0.258422417,0.258300939,0.000121477
69,34189.51614,183.004337,388970.3358,99586.65421,99769.65855,8.789748983,0.047048405,25.64968312,25.60263471,Block Group 69,0.08789749,0.256496831,0.256026347,0.000470484
70,71156.39221,32.294883,315757.8361,54180.04871,54212.3436,22.53511523,0.010227738,17.16896223,17.15873449,Block Group 70,0.225351152,0.171689622,0.171587345,0.000102277
71,45740.31929,107.64961,441977.0038,108198.623,108306.2726,10.34902696,0.024356383,24.50495652,24.48060014,Block Group 71,0.10349027,0.245049565,0.244806001,0.000243564
72,89855.12947,2174.522122,642033.039,173649.5859,175824.108,13.99540585,0.338693181,27.38552338,27.0468302,Block Group 72,0.139954059,0.273855234,0.270468302,0.003386932
73,47064.40949,10.764961,376558.3358,90156.54838,90167.31334,12.49857061,0.002858776,23.94511149,23.94225272,Block Group 73,0.124985706,0.239451115,0.239422527,2.85878E-05
74,57000.4685,0,274980.1638,61586.34188,61586.34188,20.7289383,0,22.39664892,22.39664892,Block Group 74,0.207289383,0.223966489,0.223966489,0
75,40670.02266,161.474415,310386.1205,75042.54313,75204.01755,13.10304165,0.052023723,24.22918184,24.17715812,Block Group 75,0.131030417,0.242291818,0.241771581,0.000520237
76,46461.57168,172.239376,344209.628,89026.22747,89198.46685,13.49804535,0.050039093,25.91399531,25.86395622,Block Group 76,0.134980454,0.259139953,0.258639562,0.000500391
77,47796.42684,2077.637473,921577.5462,175339.6848,177417.3222,5.186370592,0.225443587,19.25148057,19.02603698,Block Group 77,0.051863706,0.192514806,0.19026037,0.002254436
78,37612.77373,10.764961,283323.0086,69800.00712,69810.77209,13.27558038,0.003799536,24.63999392,24.63619438,Block Group 78,0.132755804,0.246399939,0.246361944,3.79954E-05
79,60445.25602,452.128362,425172.8997,98133.38448,98585.51284,14.21662953,0.106339883,23.18715819,23.08081831,Block Group 79,0.142166295,0.231871582,0.230808183,0.001063399
80,67184.1216,3778.501311,1134120.936,272848.7015,276627.2028,5.923893957,0.333165643,24.391332,24.05816636,Block Group 80,0.05923894,0.24391332,0.240581664,0.003331656
81,66958.05742,6534.331327,1702274.048,349010.8006,355545.1319,3.933447585,0.383858952,20.8864802,20.50262124,Block Group 81,0.039334476,0.208864802,0.205026212,0.00383859
82,161345.2355,7190.993948,1227560.798,260501.2912,267692.2852,13.14356371,0.58579534,21.80684539,21.22105005,Block Group 82,0.131435637,0.218068454,0.212210501,0.005857953
83,59745.53355,75.354727,194059.9519,24813.23511,24888.58983,30.7871526,0.038830643,12.82520663,12.78637599,Block Group 83,0.307871526,0.128252066,0.12786376,0.000388306
84,81845.99848,645.89766,1351713.093,321581.68,322227.5776,6.054983037,0.047783636,23.83845946,23.79067582,Block Group 84,0.06054983,0.238384595,0.237906758,0.000477836
85,58184.61421,1410.209891,610157.9895,119684.8364,121095.0463,9.535991531,0.231122089,19.8465067,19.61538462,Block Group 85,0.095359915,0.198465067,0.196153846,0.002311221
86,109070.5849,1851.573292,603257.6495,128619.754,130471.3273,18.08026553,0.306929103,21.62779493,21.32086583,Block Group 86,0.180802655,0.216277949,0.213208658,0.003069291
87,347536.0009,65655.49714,1435453.725,113979.4071,179634.9042,24.21088155,4.573849788,12.51415501,7.940305223,Block Group 87,0.242108816,0.12514155,0.079403052,0.045738498
88,100781.5649,753.54727,680194.8257,143346.2207,144099.7679,14.81657329,0.110784034,21.18507264,21.07428861,Block Group 88,0.148165733,0.211850726,0.210742886,0.00110784
89,205169.3917,1528.624462,636080.0156,130622.0368,132150.6612,32.25528026,0.240319523,20.77579204,20.53547252,Block Group 89,0.322552803,0.20775792,0.205354725,0.002403195
90,164757.7281,1270.265398,448554.3949,78132.08694,79402.35234,36.73082461,0.283190938,17.70183354,17.4186426,Block Group 90,0.367308246,0.177018335,0.174186426,0.002831909
91,87852.84672,2174.522122,658955.5577,147178.5468,149353.0689,13.33213533,0.329995262,22.66512015,22.33512489,Block Group 91,0.133321353,0.226651202,0.223351249,0.003299953
92,81910.58825,3875.38596,702338.3505,158987.709,162863.095,11.66255384,0.551783333,23.18869457,22.63691124,Block Group 92,0.116625538,0.231886946,0.226369112,0.005517833
93,132613.5546,1087.261061,312571.4076,61155.74344,62243.0045,42.42664279,0.347844056,19.91321119,19.56536713,Block Group 93,0.424266428,0.199132112,0.195653671,0.003478441
94,119189.6482,18537.26284,981161.6054,278995.4942,297532.7571,12.14781006,1.889318002,30.32454139,28.43522338,Block Group 94,0.121478101,0.303245414,0.284352234,0.01889318
95,331011.7858,612354.0415,6216818.802,566021.6494,1178375.691,5.324456065,9.849958009,18.95464109,9.104683076,Block Group 95,0.053244561,0.189546411,0.091046831,0.09849958
96,159784.3161,90608.67674,1632979.994,232232.5037,322841.1804,9.784829987,5.54867035,19.77006342,14.22139307,Block Group 96,0.0978483,0.197700634,0.142213931,0.055486704
97,120072.375,2852.714665,611966.5029,119577.1868,122429.9015,19.62074303,0.466155362,20.00598086,19.5398255,Block Group 97,0.19620743,0.200059809,0.195398255,0.004661554
98,39173.69308,1679.333916,484703.134,125142.6716,126822.0055,8.081997068,0.346466486,26.16488251,25.81841603,Block Group 98,0.080819971,0.261648825,0.25818416,0.003464665
99,95259.13989,115443.4418,974315.0902,157114.6058,272558.0476,9.777036284,11.84867636,27.97432271,16.12564635,Block Group 99,0.097770363,0.279743227,0.161256464,0.118486764
100,22175.81966,484.423245,255183.4005,46547.69136,47032.11461,8.690149757,0.189833368,18.43071082,18.24087745,Block Group 100,0.086901498,0.184307108,0.182408775,0.001898334
101,176932.899,20356.54125,1003423.545,165640.4549,185996.9962,17.6329228,2.02870875,18.53623997,16.50753122,Block Group 101,0.176329228,0.1853624,0.165075312,0.020287088
102,155962.755,3358.667832,1315316.76,295218.2905,298576.9583,11.85742931,0.255350493,22.70000409,22.4446536,Block Group 102,0.118574293,0.227000041,0.224446536,0.002553505
103,72781.90132,1733.158721,557000.6121,123248.0385,124981.1972,13.06675428,0.311159213,22.43825132,22.12709211,Block Group 103,0.130667543,0.224382513,0.221270921,0.003111592
104,129803.8997,2368.29142,788490.3334,181938.6059,184306.8973,16.46233241,0.300357699,23.37465527,23.07429757,Block Group 104,0.164623324,0.233746553,0.230742976,0.003003577
105,51725.63761,2895.774509,731941.9933,164305.5997,167201.3743,7.066903946,0.395628962,22.84352801,22.44789905,Block Group 105,0.070669039,0.22843528,0.224478991,0.00395629
106,233039.8757,21077.79364,1112515.66,134906.4913,155984.2849,20.94710971,1.894606468,14.02086196,12.12625549,Block Group 106,0.209471097,0.14020862,0.121262555,0.018946065
107,520582.749,303087.477,2587993.509,234794.5644,537882.0413,20.1153035,11.71129201,20.7837477,9.07245569,Block Group 107,0.201153035,0.207837477,0.090724557,0.11711292
108,44190.16491,1281.030359,242437.6867,48872.92294,50153.9533,18.22743217,0.52839572,20.68735847,20.15896275,Block Group 108,0.182274322,0.206873585,0.201589628,0.005283957
109,223631.2998,1539.389423,491495.8244,94408.70797,95948.09739,45.50014237,0.313204985,19.52165057,19.20844558,Block Group 109,0.455001424,0.195216506,0.192084456,0.00313205
110,97918.08526,505.953167,170226.3283,25771.31663,26277.2698,57.52229179,0.297223803,15.43666603,15.13944223,Block Group 110,0.575222918,0.15436666,0.151394422,0.002972238
111,36805.40166,226.064181,116853.6517,23478.37994,23704.44412,31.49700599,0.193459235,20.28558268,20.09212345,Block Group 111,0.31497006,0.202855827,0.200921235,0.001934592
112,134497.4227,721.252387,341475.3279,69250.99411,69972.2465,39.38715677,0.211216544,20.49115728,20.27994073,Block Group 112,0.393871568,0.204911573,0.202799407,0.002112165
113,49260.46154,42532.36091,560692.9937,159364.4826,201896.8436,8.78563886,7.585677258,36.00844773,28.42277047,Block Group 113,0.087856389,0.360084477,0.284227705,0.075856773
114,25566.78238,947.316568,246377.6624,61833.93598,62781.25255,10.37706995,0.38449775,25.48171451,25.09721676,Block Group 114,0.1037707,0.254817145,0.250972168,0.003844978
115,74149.05137,75.354727,350593.2498,86130.45296,86205.80769,21.14959469,0.021493491,24.58855318,24.56705969,Block Group 115,0.211495947,0.245885532,0.245670597,0.000214935
116,70639.67408,3810.796194,462279.7202,93289.15203,97099.94822,15.28072096,0.824348555,21.00458748,20.18023892,Block Group 116,0.15280721,0.210045875,0.201802389,0.008243486
117,16631.86475,215.29922,165209.8565,36213.3288,36428.62802,10.06711409,0.130318629,22.04991203,21.91959341,Block Group 117,0.100671141,0.22049912,0.219195934,0.001303186
118,127812.382,312.183869,385202.5995,58733.62722,59045.81109,33.1805606,0.081044071,15.32850795,15.24746388,Block Group 118,0.331805606,0.15328508,0.152474639,0.000810441
119,54427.64282,1087.261061,390326.7209,93170.73745,94257.99852,13.94412422,0.278551532,24.14848727,23.86993574,Block Group 119,0.139441242,0.241484873,0.238699357,0.002785515
120,214082.7794,61801.6411,968232.8872,140525.8009,202327.442,22.11067009,6.382931412,20.89656783,14.51363641,Block Group 120,0.221106701,0.208965678,0.145136364,0.063829314
121,103009.9118,1625.509111,511281.8227,127381.7835,129007.2926,20.14738394,0.317928203,25.2321297,24.91420149,Block Group 121,0.201473839,0.252321297,0.249142015,0.003179282
122,76452.75302,1216.440593,293754.2558,75570.02622,76786.46681,26.02609206,0.414101437,26.1396951,25.72559367,Block Group 122,0.260260921,0.261396951,0.257255937,0.004141014
123,74095.22656,452.128362,260748.8853,64266.81717,64718.94553,28.41631575,0.173396086,24.8204112,24.64701511,Block Group 123,0.284163158,0.248204112,0.246470151,0.001733961
124,48668.38868,947.316568,381886.9915,90350.31767,91297.63424,12.74418605,0.248062016,23.90697674,23.65891473,Block Group 124,0.127441861,0.239069767,0.236589147,0.00248062
125,52909.78332,624.367738,339634.5196,69843.06697,70467.43471,15.57844691,0.183835182,20.74801902,20.56418384,Block Group 125,0.155784469,0.20748019,0.205641838,0.001838352
126,46020.20828,5813.07894,921534.4864,215622.1688,221435.2478,4.993867181,0.630804275,24.02897027,23.398166,Block Group 126,0.049938672,0.240289703,0.23398166,0.006308043
127,44674.58815,990.376412,333380.0772,77583.07393,78573.45034,13.40049727,0.297071265,23.56873002,23.27165876,Block Group 127,0.134004973,0.2356873,0.232716588,0.002970713
128,48593.03395,473.658284,193392.5244,34189.51614,34663.17442,25.12663512,0.244920679,17.92374061,17.67881993,Block Group 128,0.251266351,0.179237406,0.176788199,0.002449207
129,156953.1314,710.487426,528807.1792,77023.29595,77733.78338,29.68059768,0.134356615,14.69983511,14.56547849,Block Group 129,0.296805977,0.146998351,0.145654785,0.001343566
130,157921.9779,12433.52996,460815.6855,52662.18921,65095.71917,34.27009601,2.698156844,14.12619431,11.42803747,Block Group 130,0.34270096,0.141261943,0.114280375,0.026981568
131,76441.98806,2971.129236,457478.5476,79994.42519,82965.55443,16.70941478,0.649457609,18.13539779,17.48594018,Block Group 131,0.167094148,0.181353978,0.174859402,0.006494576
132,125282.6161,1119.555944,520894.9329,96830.82419,97950.38014,24.05141771,0.214929321,18.80424899,18.58931967,Block Group 132,0.240514177,0.18804249,0.185893197,0.002149293
133,65472.4928,9925.294042,644272.1509,124787.4279,134712.722,10.16224164,1.540543702,20.90928838,19.36874467,Block Group 133,0.101622416,0.209092884,0.193687447,0.015405437
134,94408.70797,419.833479,363242.079,55041.24559,55461.07907,25.99057582,0.115579528,15.26835195,15.15277243,Block Group 134,0.259905758,0.15268352,0.151527724,0.001155795
135,168525.4645,1044.201217,646791.1518,121213.4609,122257.6621,26.05562305,0.161443337,18.90218531,18.74074197,Block Group 135,0.260556231,0.189021853,0.18740742,0.001614433
136,479396.0082,28171.90294,938629.2445,97401.36713,125573.2701,51.07405411,3.001387726,13.37836753,10.3769798,Block Group 136,0.510740541,0.133783675,0.103769798,0.030013877
137,172551.5599,11496.97835,515630.8669,91146.92479,102643.9031,33.46416418,2.229691643,19.90646986,17.67677822,Block Group 137,0.334641642,0.199064699,0.176767782,0.022296916
138,139729.1938,1743.923682,619469.6807,123431.0428,125174.9665,22.55626032,0.281518811,20.20679468,19.92527587,Block Group 138,0.225562603,0.202067947,0.199252759,0.002815188
139,48636.0938,366.008674,477469.0802,111535.7609,111901.7696,10.18622898,0.076655995,23.43644316,23.35978717,Block Group 139,0.10186229,0.234364432,0.233597872,0.00076656
140,191713.1904,7083.344338,505188.8548,68788.10079,75871.44513,37.9488163,1.402118093,15.0184321,13.61631401,Block Group 140,0.379488163,0.150184321,0.13616314,0.014021181
141,87529.89789,419.833479,317361.8152,64945.00971,65364.84319,27.58047556,0.132288593,20.59631627,20.46402768,Block Group 141,0.275804756,0.205963163,0.204640277,0.001322886
